###################### UltraGCN Plus Plus ######################
./configs/ultragcn_gowalla_m1.ini
torch.cuda.is_available() True
cuda
load path = ./gowalla_ii_constraint_mat object
load path = ./gowalla_ii_neighbor_mat object
load path = ./gowalla_rec_i_64 object
load path = ./gowalla_rec_u_64 object
Load Configuration OK, show them below
Configuration:
{'embedding_dim': 64, 'ii_neighbor_num': 10, 'model_save_path': './ultragcn_gowalla.pt', 'max_epoch': 2000, 'enable_tensorboard': True, 'initial_weight': 0.0001, 'dataset': 'gowalla', 'gpu': '0', 'device': device(type='cuda'), 'lr': 0.0001, 'batch_size': 512, 'early_stop_epoch': 100, 'w1': 1e-06, 'w2': 1.0, 'w3': 1e-06, 'w4': 1.0, 'negative_num': 1500, 'negative_weight': 300.0, 'gamma': 0.0001, 'lambda': 0.0005, 'sampling_sift_pos': False, 'test_batch_size': 2048, 'topk': 20, 'user_num': 29858, 'item_num': 40981}
start load weight
torch.Size([29858, 64])
torch.Size([40981, 64])
cuda
Total training batches = 1583
Loss = 56.36144, F1-score: 0.062038 	 Precision: 0.04099	 Recall: 0.12750	NDCG: 0.11168
The time for epoch 97 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 55.19897, F1-score: 0.062525 	 Precision: 0.04131	 Recall: 0.12851	NDCG: 0.11253
The time for epoch 98 is: train time = 00: 00: 59, test time = 00: 00: 08
Loss = 57.79187, F1-score: 0.062726 	 Precision: 0.04145	 Recall: 0.12889	NDCG: 0.11313
The time for epoch 99 is: train time = 00: 00: 59, test time = 00: 00: 07
Loss = 54.59691, F1-score: 0.063158 	 Precision: 0.04172	 Recall: 0.12991	NDCG: 0.11400
The time for epoch 100 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 56.07053, F1-score: 0.063451 	 Precision: 0.04189	 Recall: 0.13073	NDCG: 0.11476
The time for epoch 101 is: train time = 00: 00: 57, test time = 00: 00: 07
Loss = 56.90537, F1-score: 0.063852 	 Precision: 0.04216	 Recall: 0.13153	NDCG: 0.11545
The time for epoch 102 is: train time = 00: 00: 58, test time = 00: 00: 08
Loss = 57.06498, F1-score: 0.064279 	 Precision: 0.04243	 Recall: 0.13248	NDCG: 0.11628
The time for epoch 103 is: train time = 00: 00: 59, test time = 00: 00: 07
Loss = 55.20250, F1-score: 0.064587 	 Precision: 0.04263	 Recall: 0.13321	NDCG: 0.11707
The time for epoch 104 is: train time = 00: 00: 59, test time = 00: 00: 07
Loss = 57.48749, F1-score: 0.065020 	 Precision: 0.04290	 Recall: 0.13427	NDCG: 0.11774
The time for epoch 105 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 59.77374, F1-score: 0.065376 	 Precision: 0.04314	 Recall: 0.13496	NDCG: 0.11846
The time for epoch 106 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 58.87462, F1-score: 0.065813 	 Precision: 0.04341	 Recall: 0.13600	NDCG: 0.11917
The time for epoch 107 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 57.08458, F1-score: 0.065994 	 Precision: 0.04352	 Recall: 0.13644	NDCG: 0.11981
The time for epoch 108 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 59.64178, F1-score: 0.066184 	 Precision: 0.04364	 Recall: 0.13693	NDCG: 0.12030
The time for epoch 109 is: train time = 00: 00: 59, test time = 00: 00: 07
Loss = 58.77822, F1-score: 0.066478 	 Precision: 0.04383	 Recall: 0.13760	NDCG: 0.12091
The time for epoch 110 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 56.99058, F1-score: 0.066748 	 Precision: 0.04399	 Recall: 0.13828	NDCG: 0.12142
The time for epoch 111 is: train time = 00: 00: 59, test time = 00: 00: 07
Loss = 56.64318, F1-score: 0.067011 	 Precision: 0.04416	 Recall: 0.13890	NDCG: 0.12195
The time for epoch 112 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 58.40334, F1-score: 0.067366 	 Precision: 0.04438	 Recall: 0.13973	NDCG: 0.12259
The time for epoch 113 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 60.52176, F1-score: 0.067665 	 Precision: 0.04457	 Recall: 0.14046	NDCG: 0.12312
The time for epoch 114 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 57.99782, F1-score: 0.067897 	 Precision: 0.04471	 Recall: 0.14099	NDCG: 0.12343
The time for epoch 115 is: train time = 00: 00: 59, test time = 00: 00: 07
Loss = 59.98146, F1-score: 0.068162 	 Precision: 0.04489	 Recall: 0.14154	NDCG: 0.12401
The time for epoch 116 is: train time = 00: 00: 59, test time = 00: 00: 07
Loss = 59.76218, F1-score: 0.068517 	 Precision: 0.04511	 Recall: 0.14238	NDCG: 0.12447
The time for epoch 117 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 58.39170, F1-score: 0.068735 	 Precision: 0.04525	 Recall: 0.14291	NDCG: 0.12498
The time for epoch 118 is: train time = 00: 00: 59, test time = 00: 00: 07
Loss = 56.65654, F1-score: 0.068976 	 Precision: 0.04540	 Recall: 0.14346	NDCG: 0.12543
The time for epoch 119 is: train time = 00: 00: 59, test time = 00: 00: 07
Loss = 58.23723, F1-score: 0.069329 	 Precision: 0.04562	 Recall: 0.14431	NDCG: 0.12598
The time for epoch 120 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 59.95731, F1-score: 0.069637 	 Precision: 0.04583	 Recall: 0.14496	NDCG: 0.12640
The time for epoch 121 is: train time = 00: 00: 59, test time = 00: 00: 07
Loss = 56.30653, F1-score: 0.069685 	 Precision: 0.04586	 Recall: 0.14499	NDCG: 0.12671
The time for epoch 122 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 56.62660, F1-score: 0.069974 	 Precision: 0.04604	 Recall: 0.14573	NDCG: 0.12716
The time for epoch 123 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 59.37035, F1-score: 0.070259 	 Precision: 0.04622	 Recall: 0.14645	NDCG: 0.12770
The time for epoch 124 is: train time = 00: 00: 59, test time = 00: 00: 07
Loss = 60.33677, F1-score: 0.070493 	 Precision: 0.04638	 Recall: 0.14685	NDCG: 0.12814
The time for epoch 125 is: train time = 00: 00: 59, test time = 00: 00: 07
Loss = 59.10815, F1-score: 0.070741 	 Precision: 0.04653	 Recall: 0.14748	NDCG: 0.12856
The time for epoch 126 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 56.72785, F1-score: 0.070943 	 Precision: 0.04665	 Recall: 0.14803	NDCG: 0.12897
The time for epoch 127 is: train time = 00: 00: 58, test time = 00: 00: 08
Loss = 57.62872, F1-score: 0.071107 	 Precision: 0.04676	 Recall: 0.14832	NDCG: 0.12932
The time for epoch 128 is: train time = 00: 00: 58, test time = 00: 00: 08
Loss = 57.55342, F1-score: 0.071199 	 Precision: 0.04683	 Recall: 0.14848	NDCG: 0.12963
The time for epoch 129 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 58.78325, F1-score: 0.071452 	 Precision: 0.04697	 Recall: 0.14920	NDCG: 0.13003
The time for epoch 130 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 58.64669, F1-score: 0.071768 	 Precision: 0.04719	 Recall: 0.14981	NDCG: 0.13059
The time for epoch 131 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 56.77491, F1-score: 0.071907 	 Precision: 0.04728	 Recall: 0.15012	NDCG: 0.13093
The time for epoch 132 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 57.45463, F1-score: 0.072167 	 Precision: 0.04745	 Recall: 0.15064	NDCG: 0.13134
The time for epoch 133 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 57.70380, F1-score: 0.072413 	 Precision: 0.04760	 Recall: 0.15123	NDCG: 0.13178
The time for epoch 134 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 60.03726, F1-score: 0.072637 	 Precision: 0.04775	 Recall: 0.15174	NDCG: 0.13218
The time for epoch 135 is: train time = 00: 01: 00, test time = 00: 00: 07
Loss = 59.94963, F1-score: 0.072755 	 Precision: 0.04782	 Recall: 0.15206	NDCG: 0.13255
The time for epoch 136 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 58.98698, F1-score: 0.073023 	 Precision: 0.04800	 Recall: 0.15260	NDCG: 0.13292
The time for epoch 137 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 59.07038, F1-score: 0.073044 	 Precision: 0.04800	 Recall: 0.15273	NDCG: 0.13311
The time for epoch 138 is: train time = 00: 01: 00, test time = 00: 00: 07
Loss = 58.16366, F1-score: 0.073296 	 Precision: 0.04816	 Recall: 0.15327	NDCG: 0.13361
The time for epoch 139 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 57.81602, F1-score: 0.073541 	 Precision: 0.04832	 Recall: 0.15385	NDCG: 0.13400
The time for epoch 140 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 58.60056, F1-score: 0.073732 	 Precision: 0.04844	 Recall: 0.15430	NDCG: 0.13428
The time for epoch 141 is: train time = 00: 00: 59, test time = 00: 00: 07
Loss = 56.50463, F1-score: 0.073890 	 Precision: 0.04855	 Recall: 0.15456	NDCG: 0.13460
The time for epoch 142 is: train time = 00: 00: 59, test time = 00: 00: 08
Loss = 57.99117, F1-score: 0.073951 	 Precision: 0.04859	 Recall: 0.15470	NDCG: 0.13486
The time for epoch 143 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 60.35338, F1-score: 0.074244 	 Precision: 0.04878	 Recall: 0.15532	NDCG: 0.13522
The time for epoch 144 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 58.55876, F1-score: 0.074469 	 Precision: 0.04892	 Recall: 0.15590	NDCG: 0.13555
The time for epoch 145 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 59.33355, F1-score: 0.074479 	 Precision: 0.04892	 Recall: 0.15597	NDCG: 0.13583
The time for epoch 146 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 60.13793, F1-score: 0.074752 	 Precision: 0.04909	 Recall: 0.15659	NDCG: 0.13634
The time for epoch 147 is: train time = 00: 00: 58, test time = 00: 00: 08
Loss = 59.62545, F1-score: 0.074913 	 Precision: 0.04919	 Recall: 0.15698	NDCG: 0.13671
The time for epoch 148 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 58.34493, F1-score: 0.075108 	 Precision: 0.04931	 Recall: 0.15748	NDCG: 0.13689
The time for epoch 149 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 59.90897, F1-score: 0.075315 	 Precision: 0.04945	 Recall: 0.15791	NDCG: 0.13723
The time for epoch 150 is: train time = 00: 01: 01, test time = 00: 00: 07
Loss = 58.32013, F1-score: 0.075466 	 Precision: 0.04955	 Recall: 0.15824	NDCG: 0.13756
The time for epoch 151 is: train time = 00: 00: 59, test time = 00: 00: 08
Loss = 58.16335, F1-score: 0.075657 	 Precision: 0.04966	 Recall: 0.15874	NDCG: 0.13792
The time for epoch 152 is: train time = 00: 00: 59, test time = 00: 00: 07
Loss = 58.80158, F1-score: 0.075816 	 Precision: 0.04976	 Recall: 0.15915	NDCG: 0.13816
The time for epoch 153 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 58.24289, F1-score: 0.076060 	 Precision: 0.04992	 Recall: 0.15967	NDCG: 0.13847
The time for epoch 154 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 58.03876, F1-score: 0.076170 	 Precision: 0.04999	 Recall: 0.15992	NDCG: 0.13872
The time for epoch 155 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 59.16788, F1-score: 0.076296 	 Precision: 0.05007	 Recall: 0.16021	NDCG: 0.13894
The time for epoch 156 is: train time = 00: 00: 58, test time = 00: 00: 07
Loss = 58.88660, F1-score: 0.076502 	 Precision: 0.05019	 Recall: 0.16079	NDCG: 0.13921
