###################### UltraGCN Plus Plus ######################
./configs/ultragcn_gowalla_m1_N_2500.ini
torch.cuda.is_available() True
cuda
Computing \Omega for the item-item graph... 
i-i constraint matrix 0 ok
i-i constraint matrix 15000 ok
i-i constraint matrix 30000 ok
Computation \Omega OK!
store object in path = ./gowalla_ii_neighbor_mat ok
store object in path = ./gowalla_ii_constraint_mat ok
store object in path = ./gowalla_rec_i_64 ok
store object in path = ./gowalla_rec_u_64 ok
Load Configuration OK, show them below
Configuration:
{'embedding_dim': 64, 'ii_neighbor_num': 10, 'model_save_path': './ultragcn_gowalla.pt', 'max_epoch': 2000, 'enable_tensorboard': True, 'initial_weight': 0.0001, 'dataset': 'gowalla', 'gpu': '0', 'device': device(type='cuda'), 'lr': 0.0001, 'batch_size': 512, 'early_stop_epoch': 100, 'w1': 1e-06, 'w2': 1.0, 'w3': 1e-06, 'w4': 1.0, 'negative_num': 150, 'negative_weight': 50.0, 'gamma': 0.0001, 'lambda': 0.0005, 'sampling_sift_pos': False, 'test_batch_size': 2048, 'topk': 20, 'user_num': 29858, 'item_num': 40981}
start load weight
torch.Size([29858, 64])
torch.Size([40981, 64])
cuda
Total training batches = 1583
The time for epoch 99 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 41.45023, F1-score: 0.064095 	 Precision: 0.04234	 Recall: 0.13188	NDCG: 0.11581
The time for epoch 100 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 41.72375, F1-score: 0.064243 	 Precision: 0.04242	 Recall: 0.13232	NDCG: 0.11626
The time for epoch 101 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 40.02537, F1-score: 0.064542 	 Precision: 0.04261	 Recall: 0.13301	NDCG: 0.11687
The time for epoch 102 is: train time = 00: 01: 17, test time = 00: 00: 08
Loss = 42.88911, F1-score: 0.064674 	 Precision: 0.04270	 Recall: 0.13329	NDCG: 0.11731
The time for epoch 103 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 43.16328, F1-score: 0.064959 	 Precision: 0.04287	 Recall: 0.13399	NDCG: 0.11780
The time for epoch 104 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 43.05274, F1-score: 0.065269 	 Precision: 0.04306	 Recall: 0.13475	NDCG: 0.11839
The time for epoch 105 is: train time = 00: 01: 16, test time = 00: 00: 08
Loss = 41.04218, F1-score: 0.065507 	 Precision: 0.04322	 Recall: 0.13527	NDCG: 0.11885
The time for epoch 106 is: train time = 00: 01: 16, test time = 00: 00: 08
